Datetime,Tweet Id,Text,Username,User Id,Language,Negative,Neutral,Positive
2022-11-05 23:59:35+00:00,1589044789215113217,"@Refugees Right to self-determination is a human right

After 2 referenda, 2014 &amp; 2022, in #Donetsk &amp; #Lugansk, UN still refuses to recognise the choice made by the people

#UNHCR is not independent. #UN does not uphold human rights

UN only serves #USA. Biased

Shame on the #UnitedNations https://t.co/NknGVLcviM",HypocriticOAF,121531810,en,0.84789604,0.14328435,0.008819604
2022-11-05 23:54:02+00:00,1589043394713686016,"#UN DESA: Economic Affairs Officer  [Temporary] - Economic, Social and Developm | Closing: 2022-11-11 https://t.co/mIoDBN4CVD #jobs",UNJobList_DL,233596271,en,0.08721917,0.8531241,0.059656687
2022-11-05 23:54:02+00:00,1589043392767561729,"#UN DESA: Economic Affairs Officer  [Temporary] - Economic, Social and Development, Ec | In: NEW YORK https://t.co/yvSDu7QEQR #jobs",UNJobList_DS,233407792,en,0.063907966,0.86811864,0.067973405
2022-11-05 23:52:47+00:00,1589043080212385793,"It’s time to blame Taliban crimes on the Taliban. The #UN, envoys/ambassadors/special reps &amp; greater IC community are wasting precious time tweeting lamentations &amp; announcing deep concerns. A terrorist regime is holding #Afghanistan hostage. https://t.co/zEbBrGPLAw",ShesWithBruce,860820816,en,0.8734594,0.11962197,0.0069186655
2022-11-05 23:52:30+00:00,1589043005528641536,"https://t.co/uRr5TvCP6l

Islam #Countries will never develop, the max🌍Ppl say, why...Q?🙏

A:✍️IRs,Sur,hist,Resrch👇

1)#Islam Relgn policy,#Muslims law, systems,etc all fake+wrong+ reverse+danger+harmful to 🌐.
2) Superstitions.
3) No Sci, No true God's #law. #UN, #WHO, #Govt",SVPSOint,819375719415513088,en,0.8219194,0.16735305,0.010727535
2022-11-05 23:44:27+00:00,1589040982817140737,"@ZelenskyyUa AN IRRATIONAL GOVERNMENT SUPPORTED BY IRRATIONAL PEOPLE.
Your government lacks the use of reason and the most basic logic that guarantees the existence of all those who have died and will die because you want them to.
You take water out of the Ocean to return it to the Ocean.#UN",elpuebloalmando,1265022246,en,0.8707071,0.118979834,0.010313091
2022-11-05 23:38:39+00:00,1589039520640819200,"Environmental activist ""Greta Thunberg"" was a stooge of the Chinese Communist Party!!

She calls for ""the overthrow of the entire capitalist system.""

And he has never once criticized China, the world's largest CO2 emitter.

https://t.co/MUeqTPPoaV

#IOC #UN #G7 #WHO #EU #USA",ftfKcGSnUSyQf0k,1029566168787386369,en,0.5095878,0.42459622,0.06581597
2022-11-05 23:36:49+00:00,1589039060621791232,"#Tigray stands out for its civilizations. Its people, values, traditions,&amp; heritage are all under attack 🚨#Axum is under attack ‼️ #TigrayUnderAttack #EritreaOutOfTigray @SecBlinken @USAmbUN @USUN @vonderleyen @EU_Commission @POTUS @VP @UNGeneva #UN #UK #UNSC @UNSCO_MEPP https://t.co/qUBqIGbs6w",EsytAxum,1492825747685359616,en,0.84522843,0.14460939,0.010162114
2022-11-05 23:31:51+00:00,1589037810308505601,"In the #UN, 52 countries voted against the resolution condemning  the glorification of nazism, 15 abstained, obviously the US is one of the countries that thinks it is good that nazism continues to be glorified, Ukraine accompanies it

↑ Reason Russians MUST be defined as nazis. https://t.co/LD0HWCcp7Y",blumo0n,6332882,en,0.6162004,0.34773654,0.036063105
2022-11-05 23:26:57+00:00,1589036577304760321,"@AdairTurnerUK , 
Right Honourable Lord Turner w whom I’ve worked in #McKinsey #London #UK ,

Re #Environment , #Masako( Empress) ‘s parents (#Owada) &amp; ancestors HAVE not yet given  acknowledged worse than #injustice of #MinamataDisease !#Naruhito is an #UN Water Ambassador! Ah😡 https://t.co/U948y9kKvW",YukieKudo314,1130033064061444102,en,0.87714386,0.112845935,0.010010158
2022-11-05 23:14:55+00:00,1589033550170718209,"After death of humans, is burying process good, or firing/burning of dead body good?
Which type of cremation better... Q?🙏

A:✍️IRs,Sur,Resrch say👇

✍️After death of any person, proper burning process is better as per #science &amp; true #spirituality &amp; model dharam. #Govts, #UN https://t.co/3KggMfUazG",SVPSOint,819375719415513088,en,0.19808108,0.65994054,0.14197837
2022-11-05 23:00:18+00:00,1589029871564595200,"Learn game development and become a professional in Unity today. Ken DeVellis your instructor has been developing software for over 25 years! https://t.co/a4ZxPhRpBV
#dev #gamedev #unity #programming #learntocode #womenwhocode #un",DragonZapEdu,1372298275248869382,en,0.010448702,0.2967531,0.6927982
2022-11-05 22:54:02+00:00,1589028293461819392,"#UN OHCHR: HUMAN RIGHTS OFFICER (TJO)  [Temporary] - Political, Peace and Human | Closing: 2022-11-15 https://t.co/t7raosMQDN #jobs",UNJobList_DL,233596271,en,0.09831586,0.8410139,0.06067018
2022-11-05 22:54:01+00:00,1589028291150741504,"#UN OHCHR: HUMAN RIGHTS OFFICER (TJO)  [Temporary] - Political, Peace and Humanitar | In: ADDIS ABABA https://t.co/023jdKJP4l #jobs",UNJobList_DS,233407792,en,0.11352902,0.8370334,0.04943753
2022-11-05 22:54:01+00:00,1589028289150160897,"#UN OHCHR: HUMAN RIGHTS OFFICER (TJO)  [Temporary] - Political, Peace and Humanitarian, Hu | Grade: P-4 https://t.co/nEJpocaga5 #jobs",UNJobList,90736001,en,0.11662876,0.8354404,0.047930874
2022-11-05 22:43:24+00:00,1589025618414694400,"@Maks_NAFO_FELLA If it was sent after the sanctions came in, then the #UN needs to find a rule book and throw it at the company concerned. If the German govt. wants to get in first they'll have the eyes of all NATO and the UN watching.",NicksNikon,3293122192,en,0.39635423,0.5752896,0.028356213
2022-11-05 22:39:13+00:00,1589024563941478401,"On the eve of #COP27 let’s take stock of what we want to achieve, how we can collaborate, and the action plans we should craft that hold us accountable after leaving #Egypt #UN",RenaHussain1,2578590192,en,0.035384927,0.84808826,0.11652682
2022-11-05 22:38:00+00:00,1589024258977845249,"@armscontrol_rus @Dpol_un @RussiaUN @mfa_russia @RusBotWien @RussianEmbassy @mission_russian @RusEmbUSA @RusBotschaft @unesco_russia @NATO ridiculous, embarrassing, laughable, without any evidence, just annoying. And please stop claiming major organizations like #IAEA and #UN that you despise and make fun of! Russia has lost ALL !!! credibility. 
#StopPutinNOW https://t.co/8wSIfZu7Af",MlckNicola,3064463279,en,0.9597125,0.036970522,0.003316962
2022-11-05 22:32:18+00:00,1589022825964523520,"@armscontrol_rus @mission_rf @RF_OSCE @mfa_russia @RusBotWien @RussianEmbOman @RussiaScotland @RusConsulGen @RusConsulGenHCM @RusEmbIndia @AmbRusBen ridiculous, embarrassing, laughable, without any evidences (how could it, when already the accusation is false), just annoying. And stop claiming major organizations #IAEA #UN that you despise and fuck with! #Russia has lost ALL ! credibility. For years! I'm really pissed off. 😡 https://t.co/rBxJJ6a1lz",MlckNicola,3064463279,en,0.97597766,0.021043735,0.0029785905
2022-11-05 22:32:06+00:00,1589022773883437056,#Un-bothered ⭐️💫🤸🏻‍♀️💃🏻💃🏻💃🏻✌🏼😎 https://t.co/tHJ5BiyE3n,ImUp2222,1467931361264689152,en,0.0033802558,0.2192821,0.7773376
2022-11-05 22:29:42+00:00,1589022171086884865,"@Reuters All #wars are bankers wars, so which #bank are the #UN trying to protect?...",1Hyp3rsonic,287170217,en,0.4174648,0.5582782,0.024257004
2022-11-05 22:28:02+00:00,1589021750016081921,"@Reuters The #un are the worst hypocrites when it comes to safeguarding human rights. Only when it suits them, does it matter, all human beings are classed as dead entities, commercial slaves, debtors. Cestui que vie act 1666.",1Hyp3rsonic,287170217,en,0.9427841,0.05355998,0.003655856
2022-11-05 22:27:30+00:00,1589021614146203650,"We believe you don't care about the @UN #UN because you proved it when you bombed #Serbia🇷🇸 killing thousands of our innocent citizens while poisoning the country with depleted uranium ☢️ammunition.☣️
The curse is yours!😡 https://t.co/OD6Qg2dbBN",ZSumadije,1562653701633761283,en,0.9755917,0.022476057,0.0019322068
2022-11-05 22:27:15+00:00,1589021551864999936,"#UN urges #ElonMusk to safeguard #HumanRights at #Twitter 
#MahsaAmini 
#IranRevolution 
#OpIran",sahrng_,1574083035317821441,en,0.12227642,0.81857234,0.059151232
