Datetime,Tweet Id,Text,Username,User Id,Language,Negative,Neutral,Positive
2022-11-25 23:55:27+00:00,1596291506293604352,"At least 77 civilians have died in #Russian missile attacks on civilian infrastructure in _Ukraine since October, #UN High Commissioner for Human Rights #Volker_Türk said.

#ukraine #putinisamasskiller #putinisawarcriminal @kardinal691 https://t.co/YHtc64Skp2",kardinal691,731587580744060929,en,0.92574257,0.071685486,0.0025719386
2022-11-25 23:40:10+00:00,1596287662247354368,Iran: #UN Human Rights meeting is 'disgraceful and appalling' https://t.co/bSMLLMNY34,MiddleEastMnt,81136269,en,0.9476549,0.050150026,0.0021951552
2022-11-25 23:36:59+00:00,1596286861085147138,#Un-bothered ⭐️✌🏼😎💫🤸🏻‍♀️💃🏻💃🏻💃🏻✌🏼😎 https://t.co/t29uIxfBDg,ImUp2222,1467931361264689152,en,0.005929191,0.29871035,0.6953604
2022-11-25 23:17:46+00:00,1596282024150831104,"#UN:
We are appalled by mass floggings in public by the de facto authorities&amp; call for this abhorrent form of punishment to cease immediately.
#TB:
The IEA condemns the statements of the UN&amp;other representatives of the Western countries about implementation of Islamic penal laws. https://t.co/QO5kMQtsnJ https://t.co/o3iRcC3N26",AfghanAnalyst2,1245535446983196678,en,0.8904982,0.10482841,0.0046733785
2022-11-25 23:07:26+00:00,1596279420847026177,"@JP_Chavez_ @imboblayton @LUV2SKIPOW @zephryus47 It's sad and hilarious how many supposedly intelligent people still believe in Santa Claus, the Tooth Fairy and the extreme positions taken by those pushing the #UN/#IPCC #ClimateScam narrative.",Steele_MJ,396042821,en,0.81174237,0.1651852,0.023072368
2022-11-25 23:07:03+00:00,1596279327783813126,"An interesting Article Published on LinkedIn by #UN Climate Change by H.E. The Director-General of #IRENA ref. #COP27 #IRENAatCOP27👇🏻

COP27: The Climate Summit of Implementation https://t.co/237nOPUGtu",Mark_Nasr13,1535648125351862272,en,0.0024940367,0.15387574,0.8436302
2022-11-25 23:06:29+00:00,1596279182400491521,"Most unused things:
#un
#IranRevoIution 
#MahsaAmini https://t.co/ECdGLvAswS",amoshahin85,1577076434329378824,en,0.7012833,0.2818955,0.016821321
2022-11-25 22:58:17+00:00,1596277122100006914,"There can't be resolution to end conflict in Mindanao without assuming greater roles to take care of Filipino refugees in Sabah since 1974 and certainly, the Sabah claims issue, the trigger to the decades Mindanao conflict. No Bangsamoro solution to it either 

@raissawriter #UN",AminullahLucman,417871797,en,0.6178833,0.3595827,0.022533953
2022-11-25 22:58:01+00:00,1596277052755382272,"If #Turkey under #Erdogan dares to invade Northern #Syria, would #US, #EU, #UN issue #sanctions against Turkey???? https://t.co/fIn6XBXYZt",besthealthyou,1573512366,en,0.5467407,0.44243065,0.010828604
2022-11-25 22:53:56+00:00,1596276026128089089,"@ChrisWickNews First was the push and shoved, without any concrete info. Then segregated the unvaxx, on top the news... It's like if the narrative could not be otherwise, if you spoke about it, you were muzzled. And if you read about #Who, #Wef #UN, including #China very obvious",luclad,73171833,en,0.66247386,0.3195016,0.018024497
