Datetime,Tweet Id,Text,Username,User Id,Language,Negative,Neutral,Positive
2022-04-27 23:56:35+00:00,1519465563277316096,@SAdamsR2P @UN It’s tiring to see how much🇲🇲&amp; 🇺🇦r suffering. 🇲🇲outcry f help takes a year ago agst t Int’l cmty silence. Still not changing at @UN level. Easy to fade away fr hope that #UN is really for justice. We can’t do nothing but watching #UN &amp; 🇲🇲 get burnt down by war criminals.,myint_sarah,1352890843665842176,en,0.8941041,0.09706582,0.008830036
2022-04-27 23:55:10+00:00,1519465208019890176,"@thehill Russia war?

#NATO's war! 

Regardless of evidence when #UN and #OSCE have already published warcrime report by ukraine?

Why is #Canada supporting the #Nazi #Kyiv government?",READY2MIX,59916705,en,0.7826869,0.20819071,0.009122356
2022-04-27 23:51:42+00:00,1519464337030610944,"RT- “We have credible information that a #Russian #military unit operating in the vicinity of #Donetsk executed #Ukrainians who were attempting to surrender, rather than detaining them,” Ambassador-at-Large for Global Criminal Justice Beth Van Schaack said at the #UN today. https://t.co/acKvHSaPMg",April_Shorty_,1462117768229048323,en,0.5054189,0.47332272,0.021258442
2022-04-27 23:48:18+00:00,1519463478423138304,"The West has made sanctions into their primary, if not their only diplomatic tool — Lavrov.

#Russia
#Europe
#USA
#UN
#Ukraine️ https://t.co/QOH1HwHAWz",Mousacisse1,1241930814,en,0.41263235,0.54784876,0.039519
2022-04-27 23:48:05+00:00,1519463423695892480,Michigan's groundbreaking connected and automated vehicle lane will run between Detroit and Ann Arbor. Ford will provide not only financial support but also infrastructure support to ensure connectivity for vehicles. #insurance #un…https://t.co/ri9TJYFxht https://t.co/07IaeIqzRh,CKingdollar,1151607000,en,0.0032984866,0.3462764,0.6504251
2022-04-27 23:47:40+00:00,1519463320775929856,"https://t.co/xeqT5kfVg9

Yoga meditation.

Which is the best exercise in the World...Q?🙏

A: Yoga Meditation, a SUPREME EXERCISE IN THE WORLD. 

#People,#Congress,#SVPSOint, #IndianNationalCongress,#CPI, #CPM,#TMC,#BSP,#AAP,#TRS, #YCP,#WHO,#UAE,#USA,#UK, #UN,#HHO,#WPO,#EvrNaik",SVPSOint,819375719415513088,en,0.009933313,0.3928873,0.5971794
2022-04-27 23:38:44+00:00,1519461073459593216,"Are we going to let Putin end humanity, because this war is slowly escalating, and that is where we are heading; #MAD mutually assured destruction, #worldleaders  #nato #un start talking.",OBrien1968,267145379,en,0.77396595,0.21180676,0.014227267
2022-04-27 23:32:05+00:00,1519459400318169090,"Inter. law &amp;conventions, including the Geneva and Nuremberg Conventions #UN Charter &amp; the Universal Declaration of Human Rights, explicitly prohibit the targeting of defenseless civilians, especially in times of war. #Ethiopia needs peace not Sanctions #CancelHR6600 #RejectS3199",PrinceMesfin,1422690740820398084,en,0.50902677,0.46346402,0.027509285
2022-04-27 23:31:58+00:00,1519459370249363457,"Morning Wagmis @antonioguterres @elonmusk .=))
https://t.co/D9pdBv31zj
#Love #UN #AI #God https://t.co/P6KStBfYsf https://t.co/SQaI5vc7Fq",whitewaterxx,1497845492403019784,en,0.00606596,0.4060857,0.58784837
2022-04-27 23:31:06+00:00,1519459151994363906,Many pregnant mothers are experiencing complications after traveling long distances to the hospital due to lack of transportation. #EndTigraySiege @SwedishPM @AnnLinde @JosepBorrellF @USAmbUN @BWoodward_UN @NorwayUN @UN @WHO @UNGeneva  @PowerUSAID #UN https://t.co/cMpwPSGqwB,SaymonKTe,1491471606727778304,en,0.7889244,0.20056336,0.010512281
