Datetime,Tweet Id,Text,Username,User Id,Language
2021-11-06 23:59:23+00:00,1457135557654499334,"Buenas noches bendiciones🔥🙌🏻

No te quedes en este día sin leer tu plan de la Biblia.

#somos_cazadores
#plan #de #lectura #la #Biblia #en #un #año https://t.co/KKGOosWEwR",almas_jesus,1293759159087882240,es
2021-11-06 23:54:54+00:00,1457134427897741315,"@laralogan Lara, everyone, including #UN ignores us (Hazara). We lost 80% of our motherlands and 64% of our population. 😥😢 we human without any rights. #StopHazaraGenocide #HazaraLivesMatter #stophazaraforceddisplacement",JYari90,618873855,en
2021-11-06 23:54:01+00:00,1457134206073638916,"#UN ECLAC: ASSOCIATE ECONOMIC AFFAIRS OFFICER  [Temporary] - Economic, Social and Developm | Grade: P-2 https://t.co/pD6R8sF8fa #jobs",UNJobList,90736001,en
2021-11-06 23:53:54+00:00,1457134176608661511,According to #UN GA  resolution 75/181 “Unilateral coercive measures &amp; legislation are contrary to int. humanitarian law. The Charter of the UN norms &amp; principles governing peaceful relations among States.” #US is in violation of the law. @Coons @Menendez @Risch @Potus  #NoMore,Zworku,385864639,en
2021-11-06 23:45:35+00:00,1457132084779274249,"Why is the #WesternSahara conflict heating up? 
The killing of three Algerians on a highway through the territory, in what #Algiers says was a Moroccan strike, has raised fears of #escalation.

#Morocco #Algeria #polisario #UN 

https://t.co/aU2M6RIoyZ via @RFI_En",DannyWijnhoud,545147045,en
2021-11-06 23:43:28+00:00,1457131548902309900,"#UN General Assembly resolution 75/181 “Unilateral coercive measures &amp; legislation r contrary 2 intern'l law, intrna'l humanitarian law, z Charter of the UN &amp; z norms z principles governing peaceful relations among States.” #US is in violation of the law. @Sanctions @Potus",JemalMuhe8,1426780443286908935,en
2021-11-06 23:40:01+00:00,1457130683021864964,@exercitooficial LIBERTA-TE #Brazil ! Totalitarianism is only maintained because of the huge number of people who do not see or wish not to recognize that they live under the power of the totalitarian censor.  #UN #HumanRights #CENSORED #BraçoForte #INTERPOL https://t.co/c7eCTTqLVt,HernaniSouza,71196101,en
2021-11-06 23:40:00+00:00,1457130676851904514,"The recent sharing of views on #space security, prompted by a #UN resolution, has highlighted that legally binding treaties and non-binding norms are not necessarily incompatible. From @almuazcarate. https://t.co/8Sa5TzbnY4",orfonline,180748385,en
2021-11-06 23:36:52+00:00,1457129888138375171,"Video de @artplusexplains 

#Oaxaca #NYC #zapoteca #zapotec #ONU #UN #alebrijes https://t.co/Ggiuc3chJo",leonel_leon,57943706,es
2021-11-06 23:30:52+00:00,1457128381565132801,"#POTUS #TheDemocrats THIS IS ON YOU @JoeBiden @VP What are you doing to help the innocent people of #AfghanHungerCrisis
#AfghanistanDisaster ?? #UN 
#CNN #AP #washingtonpost #ABCWorldNews @MarthaRaddatz #NewsHour @JudyWoodruff @jacindaardern @PostOpinions https://t.co/2q9VV9urpK",NECROPOLITIX,220543970,en
2021-11-06 23:26:01+00:00,1457127159156264961,When does #UN strongly condemn to #Ethiopia regime regarding mass detection of  #Tegaru's   # civilians including  #children. World leaders  do your part to save those valuable civilians  be voice to victims. This is curious time,Rem46731674,1450195763548475393,en
2021-11-06 23:23:11+00:00,1457126445252157441,"This naive, delusional person represented us at the #UN 😐

#US #SaudiArabia #Iran #NotFriends https://t.co/JGlOMb1wFp",MKhaoS_86,3661022593,en
2021-11-06 23:18:29+00:00,1457125264668827652,"@amitghoshspeaks Another fresh attack on a Maa Kali temple yesterday .This vedio  has come from Bapari Para, Bakerganj, Barishal in Bangladesh.Hindu temple attack and destroyed by Muslims gangs.  04/10/2021.

#Savebangladeshihindus
#Slowhindugenocideinbangladesh
#UN https://t.co/3lcqoV52cW",LinaChakrabor14,1400300906973908992,en
2021-11-06 23:13:22+00:00,1457123976157687811,"For atleast a year #TigrayGenocide is happening now, @mbachelet 
Is there any backup plans for the #UN to do an independent investigations on their own? https://t.co/qxhOrBfiSf",2010ySas,119362574,en
2021-11-06 23:12:30+00:00,1457123758704054274,"@Casemiro @realmadrid Que bien As jugado casemiro, pero ten cuidado con los errores que as tenido nos a podido costar el partido pero aun asin te queremos en el Madrid eres clave para nosotros #casemiro #un #orgullo #para #el #madrid",Joselui1999MRNG,1454574877026004997,es
2021-11-06 23:05:12+00:00,1457121919501692929,"#IPOB is not a TERRORIST organisation contrary to the labelling of it by the fulani government of Nigeria. They finance bokoharam,  iswap, bandits and isis. These are all financed by the fulanis. #UN #USA #EU #ISRAEL #EndNigeriaNow #referendum #BiafraExit #FreeMaziNnamdiKanu now.",ChristianNwos20,1249778446705795074,en
2021-11-06 23:04:12+00:00,1457121666866184193,When #CATGIRLCOIN goes to $1 I will personally end world hunger. The #UN can suck it.,cryprotrader,94137249,en
2021-11-06 23:03:52+00:00,1457121586130022400,HELP #AfghanistanDisaster PEOPLE #UN #UN_HRC #UNICEF @antonioguterres @unicefchief https://t.co/2q9VV9urpK,NECROPOLITIX,220543970,en
2021-11-06 23:02:01+00:00,1457121120331706370,@UN @antonioguterres #NoMore lies and bullying by #UN fake organization!!!,tinicho06,820091497890467840,en
2021-11-06 22:59:07+00:00,1457120390963150852,"""#UN GA resolution 75/181 “Unilateral coercive measures &amp; legislation are contrary to international humanitarian law, z Charter of z UN &amp; z norms &amp; principles governing peaceful relations among States.” #US is in violation of z law. @SanctionsKill @Coons @Menendez @Risch @Potus""",Sabi92409431,1416189599060217860,en
2021-11-06 22:59:01+00:00,1457120365679988736,"Counting the last 10min of
November 6th declared by
the #UN #Kosovo* #interimgov
PM a Q@Q #Dday when his ROSU
police gonna make another illegal
breach into SRB North with aim 2
take over the Valač electric power
station. Obviously twas a bluff. 1
more #epicfail 4 Mr. #AlbinKurti https://t.co/feMQfr2bzg",spacebearrover,2871439258,en
2021-11-06 22:56:52+00:00,1457119821775216645,"I doubt that #UN is, and do not know if #NATO is, effective enough but: it shouldn't be possible for a gang on rovers with machine guns (e.g. in Syria, etc.) to torture and intimidate nations when millions of well-equipped soldiers stay idle in the first world.",kagakutobunka,1432634577831432195,en
2021-11-06 22:54:02+00:00,1457119109003554823,#UN DGACM: ASSOCIATE CONFERENCE SERVICES OFFICER  [Temporary] - Public Information and Con | Grade: P-2 https://t.co/pgGdmk6L2z #jobs,UNJobList,90736001,en
2021-11-06 22:35:36+00:00,1457114472279986176,w/ #UN. :) #DrMaria_WHO https://t.co/dV3N10plzd,madhavanpallan,87624170,und
2021-11-06 22:35:15+00:00,1457114384589750281,w/ #UN. :) #DrMaria_WHO https://t.co/poLWUb77OM,madhavanpallan,87624170,und
2021-11-06 22:34:28+00:00,1457114187792977922,w/ #UN.:) #DrMaria_WHO. https://t.co/BnceMneTDL,madhavanpallan,87624170,und
2021-11-06 22:33:39+00:00,1457113979445153795,w/ #UN.:) #DrMaria_WHO. https://t.co/KqtKXcAhAU,madhavanpallan,87624170,und
2021-11-06 22:30:59+00:00,1457113310827106307,"Acc to #UN Gen.Ass resolution 75/181 “Unilateral coercive measures &amp; legislation r contrary to international law, humanitarian law, z Charter of z United Nations &amp; z principles governing peaceful r/n among States.” #US is in violation of z law. @Coons @Menendez @SenatorRisch @USA",FitsumAyele18,1403664294475177988,en
2021-11-06 22:30:23+00:00,1457113156468330498,"NO, ""#BIGthey"" need #UN #Respectfully...more than #WHO needs them.",JohnMulroy10,1253243826183057408,en
2021-11-06 22:29:04+00:00,1457112825835528195,"#UN GA resolution 75/181 “Unilateral coercive measures &amp; legislation are contrary to international humanitarian law, z Charter of z UN &amp; z norms &amp; principles governing peaceful relations among States.” #US is in violation of z law. @SanctionsKill @Coons @Menendez @Risch @Potus",work_alem,1427791898740199431,en
2021-11-06 22:26:41+00:00,1457112228323368970,"Avance champion ça ira mieux 💪💪💪💪 car tu es né pour relever les défis
#Un champion ne se fatigue pas devant un obstacle.
#Tu es appelé à relever les défis.
# Réalise tes rêves avec la force que tu as.
#Même avec la drépanocytose tu es utile. https://t.co/m1vFLT8IYp",BndicteKiakuba2,1449753218716774407,fr
2021-11-06 22:22:29+00:00,1457111172151484419,The #UN report demolished the yearlong TPLF falsehood! We were tired of 'Tigray Genocide'! Where is @nimaelbagir? Has @CNN read the report?!#ENDFVICTORYAHEAD #TplfIsWarCriminal #NoNegotiationWithTplf,GYemoke,1376419367575937025,en
2021-11-06 22:21:21+00:00,1457110884124397573,"Acc. to #UN G.A resolution 75/181 “Unil. coercive measures &amp; legislation are contrary to int'l law, int'l hum. law, the Charter of the UN &amp; norms ,principles governing peaceful relations among States.”#US is in violation of the law. @SanctionsKill @Coons @Menendez @Risch @Potus",TemesgenBishaw,1437855043718422535,en
2021-11-06 22:20:22+00:00,1457110638917038088,"The pavilion of the Kingdom of #Saudi Arabia at COP 26 #UN Climate Summit held a discussion on current and future technologies for decarbonization, which was attended by a number of academics and those interested in climate issues. https://t.co/PNoAl971ro",TheSaudiPost_En,1320104036,en
2021-11-06 22:11:34+00:00,1457108421619093504,@exercitooficial Quando uma imagem diz tudo. Toda uma perseguição canalha a um JORNALISTA que fala a verdade. Arte: Flávio Viana - Telegram do Allan dos Santos #UN #Brazil #HumanRightsViolations https://t.co/twNTqNymHH,HernaniSouza,71196101,pt
2021-11-06 22:11:23+00:00,1457108375603453958,"We could not have closed our programme on #multilateralism without having discussed with the  #EU Representation to the #UN and other IOs in Geneva, and are thankful to Thomas Wagner who gave us his insights.
@kas_frankreich @CerfaIfri @IFRI_ @KasGeneva @cpsassenrath @C_Niemietz https://t.co/8X8oMC69RZ https://t.co/78Ez4z5N1N",KrpataM,1052264768990531584,en
2021-11-06 22:05:11+00:00,1457106817578795008,w/ #UN. :) https://t.co/CyeEBME9y9,madhavanpallan,87624170,und
2021-11-06 22:02:56+00:00,1457106250114682889,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.” #US is",liyagoitome21,1450901372170379270,en
2021-11-06 22:02:38+00:00,1457106177054019585,"@classyenter @iyoba4u @DanielLutaaya @CNN @brianstelter needs to report this misleading campaign by #CNN.  IF not,  I will never trust anybody at #CNN. this is a fall from grace. @HornOfAfricaHub #africa #UN #NOMORE",ETHIOPIADIASPOR,976988114718572544,en
2021-11-06 22:01:32+00:00,1457105897029832709,"According to #UN GA resolution 75/181 “Unilateral coercive measures and legislation are contrary to int’l law, int’l humanitarian law, the Charter of the UN and the norms and principles governing peaceful relations among States.” #US is in violation of the law. @SanctionsKill",Asmatrue,248026323,en
2021-11-06 22:01:28+00:00,1457105880370094083,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.” #US",EVANGADI7,1361580621454311426,en
2021-11-06 22:01:03+00:00,1457105778557468678,"The road to peace in Syria does not need a step for a step, nor a step by step, all it needs is one step, which is the full, strict and binding implementation of Security Council Resolution No. 2254 issued in the year (2015). #Syria #UN @antonioguterres",hadialbahra,66727768,en
2021-11-06 21:56:36+00:00,1457104655746490369,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.”",Numaan874170325,1437134927787614211,en
2021-11-06 21:55:50+00:00,1457104462770839558,"Quem manda é o déspota de #Marrocos? Desde que os #EUA vergonhosamente reconheceram a soberania de #Marrocos sobre o #SaharaOccidental e Mohamed VI é amigo de #Israel, pensa que pode tudo.
A #UN serve para quê? https://t.co/xpNgz0Bhx4",portomh,59333213,pt
2021-11-06 21:54:31+00:00,1457104133698248707,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.”",asnigirefie,1338360996126199812,en
2021-11-06 21:54:28+00:00,1457104121870360577,"A bit depressing to read the comments on this exchange between #ElonMusk and #UN official dealing with world hunger. I support Elon on this one, but that doesn't mean I think we shall all take a dump on the UN. It hardly as bad as people make it to be in this thread. https://t.co/Pd97K2TgfG",erikengheim,30079797,en
2021-11-06 21:47:29+00:00,1457102363504766978,w/ #UN. :) https://t.co/eMleZ4DViz,madhavanpallan,87624170,und
2021-11-06 21:47:13+00:00,1457102297113137154,w/ #UN. :) #DrMaria_WHO. :) https://t.co/HOIfMwbwQK,madhavanpallan,87624170,und
2021-11-06 21:46:33+00:00,1457102127466045444,w/ #UN. :) #DrMaria_WHO. :) https://t.co/FiPkatzjy0,madhavanpallan,87624170,und
2021-11-06 21:45:15+00:00,1457101798456455168,w/ #UN. :) #DrMaria_WHO https://t.co/Afsx50cHai,madhavanpallan,87624170,und
2021-11-06 21:44:15+00:00,1457101550564696064,w/ #UN.:) https://t.co/ZTHdyQn7dL,madhavanpallan,87624170,und
2021-11-06 21:43:52+00:00,1457101450912411653,see? even Elon Musk knows the #UN is evil https://t.co/RPN1wc0Aee,Isisgra,215890085,en
2021-11-06 21:40:33+00:00,1457100618527657990,"According to #UN General resolution 75/181 “Unilateral &amp;legislation are contrary to international law, humanitarian law,Charter of zUnited Nations principles governing peaceful relations among States.” #US is in violation of the law. @SanctionsKill @Coons @Menendez @Risch @Potus",Yorda99912052,1356759506894655490,en
2021-11-06 21:38:56+00:00,1457100210656608257,w/ #UN. :) https://t.co/8f1pF1u42m,madhavanpallan,87624170,und
2021-11-06 21:38:28+00:00,1457100094516326402,"Oh my god🤣🤣

Tag #UN #USPresident too😁 https://t.co/BZ6ePOJwwr",poojaghosh23,269948426,en
2021-11-06 21:38:22+00:00,1457100066557202432,"Alert🚨Information warfare has intensified!Beware. A well coordinated effort #UN, #USA #USEmbassyAddis #NYT #CNN are engaged in disingenuous reports!Learn from #Bosnia. American Imperialism in full display. #NoMore TPLF.",Ferehiw65329222,1264684397787316226,en
2021-11-06 21:37:49+00:00,1457099929919307778,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.” #US i",Yorda99912052,1356759506894655490,en
2021-11-06 21:36:50+00:00,1457099681289412609,"Anambra didn't vote
#UN",SAMHAMXY,1317083868348993539,en
2021-11-06 21:36:39+00:00,1457099635949023233,The #UN report demolished the yearlong TPLF falsehood! We were tired of 'Tigray Genocide'! Where is @nimaelbagir? Has @CNN read the report?!#ENDFVICTORYAHEAD #TplfIsWarCriminal #NoNegotiationWithTplf,Ferehiw65329222,1264684397787316226,en
2021-11-06 21:33:36+00:00,1457098866713452544,"Good #Innovations = Net-Zero emissions &amp; Clean Energy. #GlobalGoals. w/ respected #Chief, w/ #UN. :) https://t.co/UazYGCgThm",madhavanpallan,87624170,en
2021-11-06 21:31:24+00:00,1457098316626415616,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law, the Charter of the United Nations and the norms and principles governing peaceful relations among States.” #US i",HiwM11,1371925211679969280,en
2021-11-06 21:30:31+00:00,1457098093569224709,"#usa,we never lay dawn by your prpoganda since we are son of  Emperor  Menilik the second!!!!Tplf is banda of white people starting from an Empire of Minilikthe 2 nd,still continue!!! We are fighting to keep sovereignty !!!@POTUS #un @BBCWorld  @SecBlinken",SamuelW97976975,1451521257963462668,en
2021-11-06 21:28:11+00:00,1457097504093351937,"These are the 300 asylees waiting in between the Poland-Belarus borders!!!
3 of them are already died because of hunger and cold weather!!!!
#Poland #un #UnitedNations #EuropeanUnion , do you hear the silent scream of these people ? https://t.co/TgqkKjGZYb",zulmunsonu,1046438019719401474,en
2021-11-06 21:26:15+00:00,1457097017788964868,@KenRoth In order to silent people that’s what terrorist Taliban do. This is a sign that don’t talk about terrorist Taliban if you do we will silent you for ever. Human rights and #UN are part of the audience.,JYari90,618873855,en
2021-11-06 21:24:16+00:00,1457096520759656456,"According to #UN General Assembly resolution 75/181 “Unilateral coercive measures and legislation are contrary to international law, international humanitarian law,",leoule12,1417434498652950545,en
